City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
242,Cabedelo,NE,-6.9811,-34.8339,87.8,51,20,16.11,few clouds
243,Guantanamo,NE,20.1444,-75.2092,78.8,53,20,12.66,few clouds
244,Luena,NE,-11.7833,19.9167,82.4,61,40,8.05,moderate rain
245,Stockbridge,NE,33.5443,-84.2338,41.0,75,1,6.91,clear sky
246,Aasiaat,NE,68.7098,-52.8699,-0.81,84,24,5.3,few clouds
247,Carnarvon,NE,-24.8667,113.6333,84.2,58,36,12.66,scattered clouds
248,Fairbanks,NE,64.8378,-147.7164,-9.0,77,90,2.08,light snow
249,Arroyo,NE,41.6096,-4.7969,51.01,76,75,32.21,broken clouds
250,Lubango,NE,-14.9172,13.4925,68.0,71,75,8.05,light rain
251,Tuktoyaktuk,NE,69.4541,-133.0374,-36.4,67,40,3.44,scattered clouds
252,Imbituba,NE,-28.24,-48.6703,82.4,78,0,13.8,light rain
253,Tres Coracoes,NE,-21.6969,-45.2533,80.49,61,100,4.14,overcast clouds
254,Asau,NE,46.4333,26.4,43.0,46,100,9.86,overcast clouds
255,Alice Springs,NE,-23.7,133.8833,87.8,30,66,12.66,broken clouds
256,Buraydah,NE,26.326,43.975,60.8,51,0,5.75,clear sky
257,Kikwit,NE,-5.041,18.8162,81.75,77,100,5.7,light rain
258,Whitehaven,NE,54.549,-3.5841,36.0,68,99,11.99,overcast clouds
259,Koungou,NE,-12.7336,45.2042,78.8,89,79,3.44,moderate rain
260,Sibolga,NE,1.7427,98.7792,77.97,81,100,1.03,overcast clouds
261,Volksrust,NE,-27.3654,29.8818,72.09,77,50,3.31,light rain
262,Nara,NE,34.6851,135.8049,41.0,54,13,5.41,few clouds
263,Nabire,NE,-3.3667,135.4833,76.05,87,100,3.71,overcast clouds
264,Hamilton,NE,39.1834,-84.5333,30.2,59,1,3.44,clear sky
265,Norman Wells,NE,65.282,-126.8329,-27.4,68,90,2.3,overcast clouds
266,Umm Kaddadah,NE,13.6017,26.6876,78.19,16,0,18.95,clear sky
267,Rogers,NE,36.3668,-95.5836,48.99,100,90,9.22,moderate rain
268,Hualmay,NE,-11.0964,-77.6139,74.64,65,73,9.31,broken clouds
269,Baykit,NE,61.67,96.37,-34.35,75,7,2.55,clear sky
270,Comodoro Rivadavia,NE,-45.8667,-67.5,62.6,45,0,8.05,clear sky
271,Sur,NE,22.5667,59.5289,68.18,55,0,8.81,clear sky
272,High Level,NE,58.5169,-117.136,-20.2,76,20,3.44,few clouds
273,Tezu,NE,27.9167,96.1667,58.42,55,30,4.18,scattered clouds
274,Mekhe,NE,15.1097,-16.6218,96.8,17,0,6.91,clear sky
275,Sabang,NE,5.8933,95.3214,81.72,73,91,18.86,overcast clouds
276,Marystown,NE,47.1666,-55.1483,28.76,92,100,12.93,overcast clouds
277,Aswan,NE,24.0934,32.907,69.75,23,0,9.13,clear sky
278,Vieux-Habitants,NE,16.0589,-61.7659,82.4,61,40,9.22,scattered clouds
279,Bonthe,NE,7.5264,-12.505,87.93,56,38,10.65,scattered clouds
280,Babstovo,NE,48.1167,132.4833,-17.43,82,0,8.05,clear sky
281,Aklavik,NE,68.2191,-135.0107,-23.8,76,75,4.61,broken clouds
282,Okakarara,NE,-20.5833,17.4333,84.38,43,99,8.01,overcast clouds
283,Sergeyevka,NE,53.88,67.4158,19.99,94,100,7.18,overcast clouds
284,Itarema,NE,-2.9248,-39.9167,87.93,58,76,17.65,broken clouds
285,Grindavik,NE,63.8424,-22.4338,30.2,74,75,16.11,broken clouds
286,Miquelon,NE,47.0975,-56.3814,33.8,64,90,10.36,overcast clouds
287,Beidao,NE,34.5686,105.8933,28.99,62,96,11.99,overcast clouds
288,Isla Mujeres,NE,21.2311,-86.731,78.8,53,75,13.8,broken clouds
289,Arraial Do Cabo,NE,-22.9661,-42.0278,91.4,45,0,19.57,clear sky
290,Half Moon Bay,NE,37.4636,-122.4286,46.99,93,90,5.82,overcast clouds
291,Santa Rosa,NE,14.3122,121.1114,75.2,64,20,6.91,few clouds
292,Port Elizabeth,NE,-33.918,25.5701,75.2,64,0,14.97,clear sky
293,Petropavlovka,NE,50.6114,105.3196,1.83,90,68,3.27,broken clouds
294,Campos,NE,-21.75,-41.3,89.6,40,0,16.11,clear sky
295,Yenagoa,NE,4.9247,6.2642,94.3,38,91,5.48,overcast clouds
296,Thinadhoo,NE,0.5333,72.9333,81.93,79,100,15.95,overcast clouds
297,Pacific Grove,NE,36.6177,-121.9166,46.4,76,90,5.75,overcast clouds
298,Abnub,NE,27.2696,31.1511,64.4,42,0,4.61,clear sky
299,Codrington,NE,-38.2667,141.9667,54.91,82,8,3.98,clear sky
300,Grants Pass,NE,42.439,-123.3284,37.99,93,90,2.28,overcast clouds
301,Vicosa,NE,-20.7539,-42.8819,79.23,68,67,10.51,broken clouds
302,Mackay,NE,-21.15,149.2,80.6,78,75,19.57,broken clouds
303,Minden,NE,52.2833,8.9167,33.01,86,94,6.91,overcast clouds
304,Husavik,NE,66.0449,-17.3389,21.2,68,75,9.22,broken clouds
305,Dikson,NE,73.5069,80.5464,-35.37,83,47,9.75,scattered clouds
306,Payson,NE,40.0444,-111.7321,34.0,93,75,4.21,broken clouds
307,Riyadh,NE,24.6877,46.7219,68.0,26,0,10.36,clear sky
308,Dryden,NE,49.7833,-92.7503,17.6,86,90,6.91,light snow
309,San Cristobal,NE,7.7669,-72.225,78.8,65,40,8.05,scattered clouds
310,Eureka,NE,40.8021,-124.1637,50.0,71,90,12.66,overcast clouds
311,Mehamn,NE,71.0357,27.8492,26.08,96,100,22.17,light snow
312,Huarmey,NE,-10.0681,-78.1522,74.95,63,88,9.01,overcast clouds
313,Yantal,NE,56.8471,105.2542,-36.2,78,8,4.32,clear sky
314,Mombetsu,NE,44.3525,143.3525,21.99,83,100,8.99,light snow
315,Mecca,NE,21.4267,39.8261,74.53,30,8,12.46,clear sky
316,Oron,NE,4.8256,8.2343,89.76,51,98,10.69,overcast clouds
317,Tepusteca,NE,15.4167,-86.3167,73.4,88,40,3.44,scattered clouds
318,Sabha,NE,27.0377,14.4283,72.5,22,0,5.57,clear sky
319,Barberton,NE,-25.7884,31.0532,87.01,69,39,8.05,light rain
320,Waipawa,NE,-41.4122,175.5153,53.6,82,68,2.3,broken clouds
321,Raychikhinsk,NE,49.7838,129.4121,-30.26,83,0,4.27,clear sky
322,Eufaula,NE,31.8913,-85.1455,46.4,66,40,4.61,scattered clouds
323,Isangel,NE,-19.55,169.2667,73.4,94,75,9.06,broken clouds
324,Bandar-E Lengeh,NE,26.5579,54.8807,71.6,78,0,4.61,clear sky
325,Magalia,NE,39.8121,-121.5783,46.4,76,90,4.61,overcast clouds
326,Victoria,NE,22.2855,114.1577,64.0,70,0,16.24,clear sky
327,Kavieng,NE,-2.5744,150.7967,82.31,78,24,13.69,few clouds
328,Maniitsoq,NE,65.4167,-52.9,14.77,83,0,17.56,clear sky
329,Honiara,NE,-9.4333,159.95,78.78,81,99,4.99,overcast clouds
330,Blythe,NE,33.6103,-114.5964,39.2,93,1,8.05,clear sky
331,Ambagarh Chauki,NE,20.7833,80.7167,65.17,23,0,7.07,clear sky
332,Bojnurd,NE,37.4747,57.329,50.0,29,75,2.3,broken clouds
333,Nadym,NE,65.5333,72.5167,-26.46,83,100,17.22,overcast clouds
334,Umarkot,NE,25.3616,69.7362,59.34,34,0,1.57,clear sky
335,Pasni,NE,25.2631,63.471,70.36,64,0,12.77,clear sky
336,Denpasar,NE,-8.65,115.2167,78.8,89,75,20.71,heavy intensity rain
337,Havelock,NE,34.8791,-76.9013,37.99,47,1,10.36,clear sky
338,Ankang,NE,32.68,109.0172,50.13,46,99,1.07,overcast clouds
339,Demyansk,NE,57.643,32.466,26.74,97,100,7.96,light snow
340,Lac Du Bonnet,NE,50.2536,-96.0612,23.0,100,100,5.01,overcast clouds
341,Pangody,NE,65.85,74.4859,-28.93,83,100,13.15,overcast clouds
342,Nador,NE,35.174,-2.9287,66.2,59,0,20.71,clear sky
343,Bodden Town,NE,19.2833,-81.25,79.0,61,40,19.57,scattered clouds
344,Nacala,NE,-14.5428,40.6728,81.32,79,99,6.6,overcast clouds
345,Taguatinga,NE,-12.3857,-46.5711,92.23,36,17,7.16,few clouds
346,Saurimo,NE,-9.6608,20.3916,79.72,73,83,3.2,light rain
